number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
42,dublin,SMITHFIELD NORTH,Smithfield North,"{'lat': 53.349562, 'lng': -6.278198}",FALSE,FALSE,30,8,22,OPEN,1.73923E+12
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,"{'lat': 53.3537415547453, 'lng': -6.26530144781526}",FALSE,FALSE,20,13,7,OPEN,1.73923E+12
54,dublin,CLONMEL STREET,Clonmel Street,"{'lat': 53.336021, 'lng': -6.26298}",FALSE,FALSE,33,32,1,OPEN,1.73923E+12
108,dublin,AVONDALE ROAD,Avondale Road,"{'lat': 53.359405, 'lng': -6.276142}",FALSE,FALSE,35,18,17,OPEN,1.73923E+12
20,dublin,JAMES STREET EAST,James Street East,"{'lat': 53.336597, 'lng': -6.248109}",FALSE,FALSE,30,30,0,OPEN,1.73923E+12
56,dublin,MOUNT STREET LOWER,Mount Street Lower,"{'lat': 53.33796, 'lng': -6.24153}",FALSE,FALSE,40,27,13,OPEN,1.73923E+12
6,dublin,CHRISTCHURCH PLACE,Christchurch Place,"{'lat': 53.343368, 'lng': -6.27012}",FALSE,FALSE,20,2,18,OPEN,1.73923E+12
18,dublin,GRANTHAM STREET,Grantham Street,"{'lat': 53.334123, 'lng': -6.265436}",FALSE,FALSE,30,17,13,OPEN,1.73923E+12
32,dublin,PEARSE STREET,Pearse Street,"{'lat': 53.344304, 'lng': -6.250427}",FALSE,FALSE,30,28,2,OPEN,1.73923E+12
52,dublin,YORK STREET EAST,York Street East,"{'lat': 53.338755, 'lng': -6.262003}",FALSE,FALSE,32,25,7,OPEN,1.73923E+12
48,dublin,EXCISE WALK,Excise Walk,"{'lat': 53.347777, 'lng': -6.244239}",FALSE,FALSE,40,25,15,OPEN,1.73923E+12
13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,"{'lat': 53.336074, 'lng': -6.252825}",FALSE,FALSE,30,19,11,OPEN,1.73923E+12
43,dublin,PORTOBELLO ROAD,Portobello Road,"{'lat': 53.330091, 'lng': -6.268044}",FALSE,FALSE,30,9,21,OPEN,1.73923E+12
31,dublin,PARNELL STREET,Parnell Street,"{'lat': 53.350929, 'lng': -6.265125}",FALSE,FALSE,20,4,16,OPEN,1.73923E+12
98,dublin,FREDERICK STREET SOUTH,Frederick Street South,"{'lat': 53.341515, 'lng': -6.256853}",FALSE,FALSE,40,39,1,OPEN,1.73923E+12
14,dublin,FOWNES STREET UPPER,Fownes Street Upper,"{'lat': 53.344603, 'lng': -6.263371}",FALSE,FALSE,30,13,17,OPEN,1.73923E+12
1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.340927, 'lng': -6.262501}",FALSE,FALSE,31,23,8,OPEN,1.73923E+12
23,dublin,CUSTOM HOUSE,Custom House,"{'lat': 53.348279, 'lng': -6.254662}",FALSE,FALSE,30,3,27,OPEN,1.73923E+12
106,dublin,RATHDOWN ROAD,Rathdown Road,"{'lat': 53.35893, 'lng': -6.280337}",FALSE,FALSE,40,40,0,OPEN,1.73923E+12
112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),"{'lat': 53.357841, 'lng': -6.251557}",FALSE,FALSE,30,10,20,OPEN,1.73923E+12
68,dublin,HANOVER QUAY,Hanover Quay,"{'lat': 53.344115, 'lng': -6.237153}",FALSE,FALSE,40,34,6,OPEN,1.73923E+12
74,dublin,OLIVER BOND STREET,Oliver Bond Street,"{'lat': 53.343893, 'lng': -6.280531}",FALSE,FALSE,30,20,10,OPEN,1.73923E+12
87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,"{'lat': 53.347477, 'lng': -6.28525}",FALSE,FALSE,38,11,27,OPEN,1.73923E+12
84,dublin,BROOKFIELD ROAD,Brookfield Road,"{'lat': 53.339005, 'lng': -6.300217}",FALSE,FALSE,30,6,24,OPEN,1.73923E+12
90,dublin,BENSON STREET,Benson Street,"{'lat': 53.344153, 'lng': -6.233451}",FALSE,FALSE,40,37,3,OPEN,1.73923E+12
11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,"{'lat': 53.334295, 'lng': -6.258503}",FALSE,FALSE,30,30,0,OPEN,1.73923E+12
17,dublin,GOLDEN LANE,Golden Lane,"{'lat': 53.340803, 'lng': -6.267732}",FALSE,FALSE,20,18,2,OPEN,1.73923E+12
45,dublin,DEVERELL PLACE,Deverell Place,"{'lat': 53.351464, 'lng': -6.255265}",FALSE,FALSE,30,18,12,OPEN,1.73923E+12
114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),"{'lat': 53.333653, 'lng': -6.248345}",FALSE,FALSE,40,24,16,OPEN,1.73923E+12
72,dublin,JOHN STREET WEST,John Street West,"{'lat': 53.343105, 'lng': -6.277167}",FALSE,FALSE,31,28,3,OPEN,1.73923E+12
63,dublin,FENIAN STREET,Fenian Street,"{'lat': 53.341428, 'lng': -6.24672}",FALSE,FALSE,35,20,15,OPEN,1.73923E+12
113,dublin,MERRION SQUARE SOUTH,Merrion Square South,"{'lat': 53.338614, 'lng': -6.248606}",FALSE,FALSE,40,24,5,OPEN,1.73923E+12
91,dublin,SOUTH DOCK ROAD,South Dock Road,"{'lat': 53.341833, 'lng': -6.231291}",FALSE,FALSE,30,17,13,OPEN,1.73923E+12
99,dublin,CITY QUAY,City Quay,"{'lat': 53.346637, 'lng': -6.246154}",FALSE,FALSE,30,16,14,OPEN,1.73923E+12
9,dublin,EXCHEQUER STREET,Exchequer Street,"{'lat': 53.343034, 'lng': -6.263578}",FALSE,FALSE,24,9,15,OPEN,1.73923E+12
67,dublin,THE POINT,The Point,"{'lat': 53.346867, 'lng': -6.230852}",FALSE,FALSE,40,33,7,OPEN,1.73923E+12
116,dublin,BROADSTONE,Broadstone,"{'lat': 53.3547, 'lng': -6.272314}",FALSE,FALSE,30,11,19,OPEN,1.73923E+12
55,dublin,HATCH STREET,Hatch Street,"{'lat': 53.33403, 'lng': -6.260714}",FALSE,FALSE,36,35,1,OPEN,1.73923E+12
62,dublin,LIME STREET,Lime Street,"{'lat': 53.346026, 'lng': -6.243576}",FALSE,FALSE,40,35,5,OPEN,1.73923E+12
5,dublin,CHARLEMONT PLACE,Charlemont Street,"{'lat': 53.330662, 'lng': -6.260177}",FALSE,FALSE,40,4,36,OPEN,1.73923E+12
97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,"{'lat': 53.342113, 'lng': -6.310015}",FALSE,FALSE,40,11,29,OPEN,1.73923E+12
61,dublin,HARDWICKE PLACE,Hardwicke Place,"{'lat': 53.357043, 'lng': -6.263232}",FALSE,FALSE,25,23,2,OPEN,1.73923E+12
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,"{'lat': 53.348875, 'lng': -6.267459}",FALSE,FALSE,29,1,28,OPEN,1.73923E+12
73,dublin,FRANCIS STREET,Francis Street,"{'lat': 53.342081, 'lng': -6.275233}",FALSE,FALSE,30,24,6,OPEN,1.73923E+12
4,dublin,GREEK STREET,Greek Street,"{'lat': 53.346874, 'lng': -6.272976}",FALSE,FALSE,20,14,6,OPEN,1.73923E+12
49,dublin,GUILD STREET,Guild Street,"{'lat': 53.347932, 'lng': -6.240928}",FALSE,FALSE,40,24,16,OPEN,1.73923E+12
19,dublin,HERBERT PLACE,Herbert Place,"{'lat': 53.334432, 'lng': -6.245575}",FALSE,FALSE,30,26,4,OPEN,1.73923E+12
7,dublin,HIGH STREET,High Street,"{'lat': 53.343565, 'lng': -6.275071}",FALSE,FALSE,29,28,1,OPEN,1.73923E+12
60,dublin,NORTH CIRCULAR ROAD,North Circular Road,"{'lat': 53.359624, 'lng': -6.260348}",FALSE,FALSE,30,11,18,OPEN,1.73923E+12
102,dublin,WESTERN WAY,Western Way,"{'lat': 53.354929, 'lng': -6.269425}",FALSE,FALSE,40,29,11,OPEN,1.73923E+12
38,dublin,TALBOT STREET,Talbot Street,"{'lat': 53.350974, 'lng': -6.25294}",FALSE,FALSE,40,4,35,OPEN,1.73923E+12
53,dublin,NEWMAN HOUSE,Newman House,"{'lat': 53.337132, 'lng': -6.26059}",FALSE,FALSE,40,29,11,OPEN,1.73923E+12
58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,"{'lat': 53.339218, 'lng': -6.240642}",FALSE,FALSE,40,35,5,OPEN,1.73923E+12
66,dublin,NEW CENTRAL BANK,New Central Bank,"{'lat': 53.347122, 'lng': -6.234749}",FALSE,FALSE,40,37,3,OPEN,1.73923E+12
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),"{'lat': 53.355173, 'lng': -6.278424}",FALSE,FALSE,40,26,14,OPEN,1.73923E+12
101,dublin,KING STREET NORTH,King Street North,"{'lat': 53.350291, 'lng': -6.273507}",FALSE,FALSE,30,17,13,OPEN,1.73923E+12
115,dublin,KILLARNEY STREET,Killarney Street,"{'lat': 53.354845, 'lng': -6.247579}",FALSE,FALSE,30,1,29,OPEN,1.73923E+12
47,dublin,HERBERT STREET,Herbert Street,"{'lat': 53.335742, 'lng': -6.24551}",FALSE,FALSE,40,37,3,OPEN,1.73923E+12
117,dublin,HANOVER QUAY EAST,Hanover Quay East,"{'lat': 53.343653, 'lng': -6.231755}",FALSE,FALSE,40,40,0,OPEN,1.73923E+12
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,"{'lat': 53.347884, 'lng': -6.248048}",FALSE,FALSE,30,12,18,OPEN,1.73923E+12
